,,,Engagement by Media Type,,,,Engagement by Content Category,,,Best Posting Time,,,,,,,,,,Followers Gained by Media Type,,,Performance Bucket,,,
Total Posts,29999,,,,,,,,,,,,,,,,,,,,,,,,,
Avg Engagement Rate,5.83%,,Row Labels,Average of engagement_rate_calc,,,Row Labels,Average of engagement_rate,,Average of engagement_rate,Column Labels,,,,,,,,,Row Labels,Average of followers_gained,,Row Labels,Count of post_id,,Row Labels
Avg Reach,627247.54%,,carousel,5.57%,,,Beauty,4.22%,,Row Labels,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Grand Total,,carousel,506.86,,high,7500,,Beauty
Total Followers Gained,15064082,,image,5.64%,,,Comedy,4.19%,,0,4.11%,4.13%,4.15%,4.29%,4.31%,4.29%,4.12%,4.19%,,image,500.91,,medium,7499,,Comedy
,,,reel,5.64%,,,Fashion,4.26%,,1,4.31%,4.20%,4.19%,4.18%,4.02%,4.12%,4.31%,4.19%,,reel,497.42,,low,7500,,Fashion
,,,Grand Total,5.62%,,,Fitness,4.27%,,2,4.40%,3.98%,4.82%,4.32%,4.16%,4.36%,4.19%,4.33%,,Grand Total,502.15,,viral,7500,,Fitness
,,,,,,,Food,4.21%,,3,4.25%,4.63%,4.03%,4.22%,3.95%,4.58%,4.69%,4.34%,,,,,Grand Total,29999,,Food
,,,,,,,Lifestyle,4.16%,,4,4.06%,4.37%,4.22%,4.15%,4.11%,4.30%,4.44%,4.24%,,,,,,,,Lifestyle
,,,,,,,Music,4.28%,,5,4.16%,4.24%,4.48%,4.28%,4.17%,4.00%,4.32%,4.24%,,,,,,,,Music
,,,,,,,Photography,4.15%,,6,4.45%,4.20%,4.16%,3.96%,4.03%,4.12%,4.22%,4.16%,,,,,,,,Photography
,,,,,,,Technology,4.20%,,7,4.18%,4.05%,4.17%,4.04%,4.06%,4.13%,4.08%,4.10%,,,,,,,,Technology
?? Insights,,,,,,,Travel,4.17%,,8,4.12%,4.47%,4.46%,4.40%,4.36%,4.43%,3.94%,4.33%,,,,,,,,Travel
Average engagement rate across posts is ~5.8%,,,,,,,Grand Total,4.21%,,9,4.45%,4.25%,4.39%,4.28%,4.19%,3.90%,4.11%,4.22%,,,,,,,,Grand Total
"Engagement rate is consistent across media types

Carousel posts generate the highest follower growth

Evening posting hours (17–21) show higher engagement

Friday and Saturday perform slightly better than weekdays

Content categories like Fitness, Music, and Fashion show marginally higher engagement",,,,,,,,,,10,4.24%,4.08%,4.17%,4.13%,4.08%,4.07%,4.16%,4.13%,,,,,,,,
Carousel posts generate the highest follower growth,,,,,,,,,,11,4.22%,4.07%,4.17%,4.27%,4.17%,4.29%,4.16%,4.19%,,,,,,,,
Evening posting hours (17–21) show higher engagement,,,,,,,,,,12,4.48%,4.28%,4.14%,3.98%,4.19%,4.23%,4.11%,4.21%,,,,,,,,
Friday and Saturday perform slightly better than weekdays,,,,,,,,,,13,4.52%,4.35%,4.11%,4.04%,4.03%,3.99%,4.33%,4.19%,,,,,,,,
"Content categories like Fitness, Music, and Fashion show marginally higher engagement",,,,,,,,,,14,4.21%,3.98%,4.39%,4.08%,4.32%,4.45%,4.42%,4.26%,,,,,,,,
,,,,,,,,,,15,4.23%,3.81%,4.46%,3.99%,4.20%,4.15%,4.08%,4.13%,,,,,,,,
,,,,,,,,,,16,4.31%,4.23%,3.95%,4.19%,4.39%,4.54%,3.96%,4.22%,,,,,,,,
,,,,,,,,,,17,4.45%,4.14%,4.10%,4.18%,4.28%,4.53%,4.21%,4.27%,,,,,,,,
,,,,,,,,,,18,4.34%,3.83%,4.49%,4.01%,4.18%,4.29%,4.25%,4.20%,,,,,,,,
,,,,,,,,,,19,4.19%,3.96%,3.95%,4.23%,4.28%,4.22%,4.21%,4.15%,,,,,,,,
,,,,,,,,,,20,4.00%,4.26%,4.41%,4.17%,4.29%,4.48%,4.25%,4.27%,,,,,,,,
,,,,,,,,,,21,4.09%,4.13%,4.29%,4.24%,4.46%,4.07%,4.20%,4.22%,,,,,,,,
,,,,,,,,,,22,4.13%,4.00%,4.40%,4.14%,4.34%,4.04%,4.02%,4.15%,,,,,,,,
,,,,,,,,,,23,4.10%,4.16%,4.29%,4.10%,4.04%,4.12%,4.15%,4.14%,,,,,,,,
,,,,,,,,,,Grand Total,4.25%,4.16%,4.27%,4.16%,4.19%,4.24%,4.21%,4.21%,,,,,,,,
